# APPLIED JOBS ONLY. Format: slug|job_id
# Never add test, debug, or proof-test exclusions to this file.
lucid|5130478007
lucid|5194178007
gm|JR-202616845
gm|JR-202611166
tesla|275523
tesla|255255
gm|JR-202610640
gm|JR-202611167
gm|JR-202607718
gm|JR-202610503
gm|JR-202610635
gm|JR-202612471
gm|JR-202603504
gm|JR-202520100
gm|JR-202607521
gm|JR-202614176
gm|JR-202519014
gm|JR-202602489
gm|JR-202612393
gm|JR-202616267
gm|JR-202602940
gm|JR-202618251
gm|JR-202608554
gm|JR-202600380
lucid|4963850007
tesla|281129
tesla|265249
tesla|266753
tesla|266752
zoox|ea3fbfaf-588b-434a-9a5a-c61edc731a40
zoox|c21467f4-690b-4100-95e5-040b040044b8
zoox|341859c7-6449-482b-a6ef-1717bd97ea78
waymo|7510368
